type,timestamp,brand,total_public_interactions,favorite_count,hashtags,link_url,media_url,retweet_count,tags,text,tm_url,tweet_url,day_of_week,time
photo,2019-06-21T13:37:01+0000,San Antonio Spurs,1228,1086,GoSpursGo NBADraft,,https://pbs.twimg.com/media/D9k5qDqXUAE9OAM.jpg,142,,@SamanicLuka  #GoSpursGo | #NBADraft https://t.co/cnYwnpyeJj,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTQtMTE2Mzg4NjM0X3R3ZWV0/,https://www.twitter.com/spurs/status/1142063878551089152,Friday,13:37:01
link,2019-06-21T13:35:05+0000,Milwaukee Bucks,35,33,BucksDraft,https://t.co/0ajPmSD5Eh,,2,,"GM Jon Horst on last night's trade for Jon Leuer, free agency, Summer League and more!!  #BucksDraft | @johnsoncontrols   https://t.co/0ajPmSD5Eh",https://app.trackmaven.com/#/workspaces/2788/feed/content/NzQ0ODUtMTE2MzkxNzg0X3R3ZWV0/,https://www.twitter.com/Bucks/status/1142063391374270466,Friday,13:35:05
"photo,link",2019-06-21T13:30:10+0000,Cleveland Cavaliers,355,329,5 CavsDraft,https://t.co/Y622UABw2G,https://pbs.twimg.com/media/D9lreN9WsAIzB8H.jpg,26,,"""We are extremely proud ... it's just a blessing for him to be chosen #5 in the @NBADraft. We're so happy and we're so proud of @dariusgarland22.""  @cayleighgriffin checks in with the Garland family following the exciting #CavsDraft selection - https://t.co/Y622UABw2G https://t.co/ZMCGs0ZaE3",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDMtMTE2MzkzMTE4X3R3ZWV0/,https://www.twitter.com/cavs/status/1142062151726768128,Friday,13:30:10
photo,2019-06-21T13:30:00+0000,Charlotte Hornets,88,75,BuzzCity HornetsDraft,,https://pbs.twimg.com/media/D9lmH4wXYAA6PbB.jpg,13,,"Hey #BuzzCity meet two of your newest Hornets, @PJWashington and @cody_martin15, for an autograph session at the Hornets Fan Shop today!    #HornetsDraft https://t.co/WX72utjyNi",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDctMTE2Mzk0MzQ5X3R3ZWV0/,https://www.twitter.com/hornets/status/1142062110442176514,Friday,13:30:00
link,2019-06-21T13:30:00+0000,Washington Wizards,102,90,,https://t.co/0n0VyA4PJt,,12,,EMERGENCY POD  pres. by @Biofreeze  Breaking down the selection of Rui Hachimura with the No. 9 overall pick.  https://t.co/0n0VyA4PJt,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NjIyX3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142062111067123712,Friday,13:30:00
photo,2019-06-21T13:09:35+0000,Washington Wizards,8728,7622,,,https://pbs.twimg.com/media/D9lmwv2WkAAhYlD.jpg,1106,,@rui_8mura  https://t.co/p8pMPAvBbf,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NjE4X3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142056974194008064,Friday,13:09:35
link,2019-06-21T13:06:01+0000,Indiana Pacers,83,72,,https://t.co/Df4TC5SOR4,,11,,"""He fits us perfectly in terms of his shot-blocking. I think that's one of the things that impressed us the most on Goga.""  More from @PacersKev on last night's Draft: https://t.co/Df4TC5SOR4",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDgtMTE2MzkzMjM1X3R3ZWV0/,https://www.twitter.com/Pacers/status/1142056076097069057,Friday,13:06:01
photo,2019-06-21T13:00:00+0000,Memphis Grizzlies,832,668,BeyondGrit,,https://pbs.twimg.com/amplify_video_thumb/1141909167453741061/img/bVptjXVuIPz_gDfU.jpg,164,,In Episode 5 of #BeyondGrit get a behind the scenes look at @igotgame_12's pre-draft visit to Memphis. https://t.co/v495byhj56,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTYtMTE2Mzk2NjA3X3R3ZWV0/,https://www.twitter.com/memgrizz/status/1142054561957347333,Friday,13:00:00
text only,2019-06-21T12:58:11+0000,Detroit Pistons,30,26,,,,4,,Ed Stefanski will be on with @JamieandStoney in just a few minutes.   Tune in to @971theticketxyt,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDktMTE2MzkxNTA2X3R3ZWV0/,https://www.twitter.com/DetroitPistons/status/1142054103540994049,Friday,12:58:11
"photo,link",2019-06-21T12:58:00+0000,Brooklyn Nets,136,114,,https://t.co/1sbwkwCLOE,https://pbs.twimg.com/media/D9kEcOtXUAA1o35.jpg,22,,Full story on the two newest Nets  @_claxton33 | @JHANDS08    | https://t.co/1sbwkwCLOE https://t.co/bbFVJhEnFC,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjQtMTE2MzkzNDA3X3R3ZWV0/,https://www.twitter.com/BrooklynNets/status/1142054057218985985,Friday,12:58:00
photo,2019-06-21T12:53:11+0000,New Orleans Pelicans,2881,2581,,,https://pbs.twimg.com/amplify_video_thumb/1140667729701232642/img/DEpcPhNKsc7oSiLi.jpg,300,,[?] https://t.co/AI1SZ3Uur1,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjItMTE2Mzk0Mjk5X3R3ZWV0/,https://www.twitter.com/PelicansNBA/status/1142052845136560128,Friday,12:53:11
link,2019-06-21T12:44:44+0000,Washington Wizards,2641,2239,,https://t.co/Oq9kxcKwXK,,402,,"Ichiro on @rui_8mura (translated) [?][?]  ""I can't believe there's this type of kid out there,"" Ichiro said. ""I never imagined that someone like him would look up to me.""   https://t.co/Oq9kxcKwXK",https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NDY2X3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142050719509483520,Friday,12:44:44
photo,2019-06-21T12:39:25+0000,Philadelphia 76ers,362,329,HereTheyCome NBADraft,,https://pbs.twimg.com/media/D7HIl0KWkAIEb8G.jpg,33,['AB_ALLPOSTS'],"From prospect to our draft pick, get to know @MarialShayok!  #HereTheyCome x #NBADraft https://t.co/IuZfoRVtSf",https://app.trackmaven.com/#/workspaces/2788/feed/content/NTkxMzUtMTE2Mzg4NTAzX3R3ZWV0/,https://www.twitter.com/sixers/status/1142049380926730240,Friday,12:39:25
photo,2019-06-21T12:30:12+0000,New York Knicks,774,658,KnicksDraft2019,,https://pbs.twimg.com/media/D9ldwBnW4AElk1-.jpg,116,,Set your [?]s for 12PM ET for an introductory press conference. Streaming live on YouTube and Facebook. #KnicksDraft2019 (@sapsports) https://t.co/yLd1KYUXtl,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTItMTE2MzkzNTU1X3R3ZWV0/,https://www.twitter.com/nyknicks/status/1142047063296872454,Friday,12:30:12
"photo,link",2019-06-21T12:30:00+0000,Washington Wizards,644,570,,https://t.co/oRowmoWbNN,https://pbs.twimg.com/tweet_video_thumb/D9kLvhmXkAAED37.jpg,74,,Be sure to tune in today at 1:00 P.M. for @rui_8mura's introductory press conference!   >> https://t.co/oRowmoWbNN https://t.co/nT49HZRwKa,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NDY5X3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142047011405008902,Friday,12:30:00
